,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-cg-size-s-run,245435538,400856931,1.6332473050418639,0.004909,117165810,8435747,6894035,6501924
riscv-gapbs-bfs-run,19206461,13775273,0.7172207831520861,0.000403,2221297,2408183,43997,9073
riscv-gapbs-tc-run,39177509,47902608,1.2227068341685532,0.000809,8470832,7447094,116119,11867
riscv-npb-bt-size-s-run,200070316,422737380,2.1129440311375327,0.004001,193953629,26547308,1673806,9303
riscv-llvm-minisat-run,83338716,46382460,0.5565535710917361,0.001667,17557273,9537028,352075,208553
riscv-npb-lu-size-s-run,85003006,150021576,1.7648973025730408,0.001700,60762339,9666106,3810981,10500
riscv-npb-ft-size-s-run,355127738,549685475,1.5478528320420861,0.007103,207976275,55062278,26212005,2915686
riscv-npb-is-size-s-run,36656396,30539663,0.8331332682023623,0.000733,9384489,3546546,261320,26855
