,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-llvm-minisat-run,42959462,46382460,1.0796797222460561,0.010740,17276944,9323569,339272,237844
riscv-npb-ft-size-s-run,320262432,549685214,1.716358707973591,0.080066,207729164,54552179,25338650,2967638
riscv-npb-is-size-s-run,28134113,30539544,1.0854987324462655,0.007034,9383528,3548910,260671,182414
riscv-gapbs-bfs-run,10929432,13784540,1.261231141746433,0.002937,2219366,2405245,44628,9409
riscv-gapbs-tc-run,30114210,47909831,1.5909376669685176,0.007789,8444782,7396013,103346,14491
riscv-npb-bt-size-s-run,192393084,422737055,2.1972570230227193,0.048098,193927165,26550828,1652850,358924
riscv-npb-lu-size-s-run,74939925,150021007,2.0018836020986144,0.018735,60999669,9661209,3784047,297736
riscv-npb-cg-size-s-run,220147937,400856268,1.8208495317401043,0.055037,117108909,8377366,6875377,6552676
