,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-lu-size-s-run,136227462,150020943,1.1012533067671775,0.034057,61766190,9587930,3810096,299989
riscv-gapbs-tc-run,75867192,47914559,0.6315583552901233,0.019510,9002332,5899334,103505,14167
riscv-llvm-minisat-run,90209393,46382460,0.5141644174459749,0.022552,16986012,8056051,338710,237217
riscv-npb-bt-size-s-run,361442067,422737109,1.1695846930844382,0.090361,194862205,26420103,1646957,343912
riscv-gapbs-bfs-run,26303360,13781084,0.5239286539818487,0.006984,2323059,2007687,44018,9332
riscv-npb-is-size-s-run,56475988,30539329,0.5407489108468541,0.014119,9662516,3285031,259760,182178
riscv-npb-ft-size-s-run,728516350,549685142,0.7545268434950019,0.182129,208054901,54006664,24621487,2925982
riscv-npb-cg-size-s-run,289934928,400856269,1.382573226913868,0.072484,117313769,8355038,6874791,6569500
