,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-gapbs-tc-run,41226276,47908877,1.1620956741278305,0.000850,15463933,13334420,210304,11847,466921,10455,92092,10887,14997012,13323965,118212,960,3254400
riscv-llvm-minisat-run,91569320,46382460,0.5065283874555364,0.001831,17558033,9537278,352199,208550,793427,1514,190312,53031,16764606,9535764,161887,155519,3206706
riscv-npb-lu-size-s-run,86511630,150021598,1.7341205800884807,0.001730,60761533,9666207,3812415,10490,7727674,8875,9751,9624,53033859,9657332,3802664,866,4088490
riscv-npb-bt-size-s-run,201309430,422737353,2.0999381549090868,0.004026,193953508,26547215,1673562,9302,3152067,16175,8573,8884,190801441,26531040,1664989,418,2465524
riscv-gapbs-bfs-run,21053604,13773464,0.6542093220714135,0.000440,3172365,2716289,91828,9070,101397,4716,63403,8757,3070968,2711573,28425,313,3058039
riscv-npb-is-size-s-run,38485055,30539663,0.7935460401446743,0.000770,9384497,3546567,261487,26839,266148,926,25926,9353,9118349,3545641,235561,17486,375815
riscv-npb-ft-size-s-run,366462172,549685546,1.499978955535962,0.007329,207978397,55061369,26217365,2915982,66394607,5096,2664250,165352,141583790,55056273,23553115,2750630,5940620
riscv-npb-cg-size-s-run,247275722,400856916,1.621092894837448,0.004946,117165802,8435676,6893821,6501930,9865512,7302,5985012,21992,107300290,8428374,908809,6479938,4865193
