,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-npb-cg-size-s-run,238579651,400856446,1.680178692188631,0.011929,117165682,8435703,6893904,6501916,9865865,7268,5984799,22024,107299817,8428435,909105,6479892,3187131
riscv-llvm-minisat-run,62177050,46382460,0.7459739566286918,0.003109,17559654,9537497,352129,208572,793169,1514,190582,53099,16766485,9535983,161547,155473,1252543
riscv-gapbs-bfs-run,14593676,13780567,0.9442834690861988,0.000775,3177079,2716799,92218,9083,101352,4730,64104,8775,3075727,2712069,28114,308,2231538
riscv-gapbs-tc-run,34202555,47908338,1.4007239517632528,0.001769,15467177,13331227,210668,11866,464876,10418,92970,10885,15002301,13320809,117698,981,2256778
riscv-npb-lu-size-s-run,80540691,150021386,1.8626781585472119,0.004027,60762545,9666201,3810570,10505,7726980,8848,9782,9559,53035565,9657353,3800788,946,3350409
riscv-npb-bt-size-s-run,196620740,422737462,2.1500146017149566,0.009831,193953438,26547318,1673499,9307,3153825,16086,8758,8896,190799613,26531232,1664741,411,1811610
riscv-npb-is-size-s-run,31531375,30539668,0.968548564723232,0.001577,9383997,3549257,261453,26852,255408,921,25924,9352,9128589,3548336,235529,17500,153729
riscv-npb-ft-size-s-run,309415492,549685388,1.776528332330561,0.015471,207972111,55063726,26214334,2915864,66481088,5081,2665791,165392,141491023,55058645,23548543,2750472,2425914
