,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-npb-lu-size-s-run,3670198830,150021190,0.04087549393066533,0.036702,61863646,9594139,3752041,10112,3115107,6183,8530,9315,58748539,9587956,3743511,797,0
riscv-npb-bt-size-s-run,8287111880,422737123,0.05101139324789712,0.082871,194626926,26473259,1641314,9005,1455972,11209,6361,8378,193170954,26462050,1634953,627,0
riscv-llvm-minisat-run,1325208405,46383230,0.035000706171947345,0.013252,15100896,8060036,340370,202043,356808,986,186041,53198,14744088,8059050,154329,148845,0
riscv-npb-is-size-s-run,637679680,30539604,0.047891762836162505,0.006377,9662343,4362962,260336,26320,185439,593,25553,9284,9476904,4362369,234783,17036,0
riscv-npb-ft-size-s-run,13806809829,549685342,0.039812624987811004,0.138068,207741584,58934357,24928534,2917109,14164148,3096,2287439,164663,193577436,58931261,22641095,2752446,0
riscv-gapbs-bfs-run,270386230,13788188,0.05099441639465146,0.002704,2843660,2789484,84677,8831,45068,2796,64859,8492,2798592,2786688,19818,339,0
riscv-npb-cg-size-s-run,10210800330,400856079,0.0392580469742669,0.102108,117294193,47556406,6828901,6454106,3553439,4645,4393284,21820,113740754,47551761,2435617,6432286,0
riscv-gapbs-tc-run,760567130,47917667,0.06300254784873494,0.007606,13808325,13876034,183688,11201,128385,7147,94336,10554,13679940,13868887,89352,647,0
