,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-cg-size-s-run,298256353,400856264,1.343999079878778,0.074564,117339097,8365701,6899067,6579020
riscv-llvm-minisat-run,91075597,46382460,0.5092742900164574,0.022769,17071155,8107104,338455,237222
riscv-gapbs-bfs-run,26336143,13784913,0.5234218617357902,0.006992,2324227,2006397,44033,9352
riscv-npb-bt-size-s-run,361553806,422737074,1.1692231335548435,0.090388,194861975,26420140,1646769,347645
riscv-npb-lu-size-s-run,136330424,150021065,1.1004224926345127,0.034083,61754285,9588310,3811325,299575
riscv-npb-ft-size-s-run,729587409,549685101,0.7534191163652606,0.182397,208055101,54007456,24583411,2929163
riscv-gapbs-tc-run,75888957,47921264,0.6314655767373374,0.019525,9002828,5901688,105189,14144
riscv-npb-is-size-s-run,56496165,30539353,0.5405562129748099,0.014124,9662004,3285066,259802,182262
