,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-ft-size-s-run,2972374877,549685107,0.18493128550285481,0.148619,207836022,53983335,25245395,2910121
riscv-npb-is-size-s-run,248267039,30539373,0.12301017937383142,0.012413,10188427,3285002,259771,25708
riscv-gapbs-tc-run,319868477,47913147,0.1497901495307398,0.016392,10214458,5919221,111041,11624
riscv-npb-bt-size-s-run,1447589586,422737132,0.2920283042157779,0.072379,194932347,26400100,1656612,9102
riscv-npb-lu-size-s-run,525691618,150021086,0.28537850112725216,0.026285,61865578,9583031,3798873,10354
riscv-llvm-minisat-run,371574852,46382460,0.12482669306156381,0.018578,17195843,8018522,342765,202363
riscv-gapbs-bfs-run,108061631,13781922,0.12753760860781382,0.005684,2458633,1936457,43721,9007
riscv-npb-cg-size-s-run,1041558400,400856291,0.38486204038102906,0.052078,119254410,8470036,6867256,6491590
