,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-gapbs-bfs-run,2040945928,13781367,0.006752441018123828,0.021535,2423010,1924117,42991,8959
riscv-llvm-minisat-run,6976450491,46382460,0.0066484324743414855,0.069764,16767555,7815672,339508,200969
riscv-npb-cg-size-s-run,17001471115,400856067,0.023577728320600098,0.170015,117609801,8462580,6867180,6479565
riscv-npb-bt-size-s-run,28786368014,422736653,0.014685307045140454,0.287864,195127244,26401754,1642457,8928
riscv-gapbs-tc-run,0,0,0.0,0,0,0,0,0
riscv-npb-lu-size-s-run,10453228423,150021079,0.014351650315983917,0.104532,61956299,9577748,3801450,10198
riscv-npb-ft-size-s-run,58721928588,549684780,0.009360809381051728,0.587219,208087676,53975226,24320831,2907782
riscv-npb-is-size-s-run,4905582714,30539142,0.00622538519488105,0.049056,9663974,3284741,259712,25626
