,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-cg-size-s-run,16458432315,400855984,0.024355660145994894,0.164584,117611954,8445194,6880202,6476283
riscv-llvm-minisat-run,6896937211,46382460,0.006725080797607395,0.068969,16632653,7742893,338526,200625
riscv-npb-bt-size-s-run,28775964614,422736635,0.014690615611694607,0.287760,195127043,26400543,1635653,8883
riscv-gapbs-bfs-run,1988081524,13784216,0.006933425935303848,0.020963,2425524,1924272,43103,8976
riscv-npb-lu-size-s-run,10443698329,150021079,0.014364746498222987,0.104437,62015167,9574017,3796158,10218
riscv-npb-ft-size-s-run,58335643695,549684759,0.00942279409607533,0.583356,208052420,53953798,24638646,2905773
riscv-gapbs-tc-run,0,0,0.0,0,0,0,0,0
riscv-npb-is-size-s-run,4902634014,30539112,0.006229123347325596,0.049026,9664621,3284676,260215,25458
