,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-gapbs-tc-run,787290838,47916489,0.06086250047279224,0.016119,10192287,5913350,110171,11613
riscv-npb-cg-size-s-run,2499470515,400856268,0.16037647397492905,0.049989,117752837,8459566,6884821,6496581
riscv-npb-ft-size-s-run,7430667938,549685102,0.07397519396458865,0.148613,208082604,53981091,24869987,2909751
riscv-gapbs-bfs-run,265909775,13775851,0.051806485865365424,0.005590,2452991,1933879,43627,8992
riscv-npb-is-size-s-run,625644828,30539310,0.0488125348971957,0.012513,9663544,3284935,259778,25722
riscv-npb-bt-size-s-run,3610692964,422737121,0.11707922141673412,0.072214,195129917,26394752,1658421,9062
riscv-llvm-minisat-run,915962660,46382460,0.050637937577062364,0.018319,16914752,7912858,351633,207776
riscv-npb-lu-size-s-run,1313463300,150021092,0.11421795492877494,0.026269,61947156,9578324,3812180,10344
