,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-gapbs-bfs-run,22201251,13774605,0.6204427399158723,0.000466,3180840,2728027,92507,9090,109432,4721,63526,8791,3071408,2723306,28981,299,3777543
riscv-llvm-minisat-run,114103093,46382460,0.40649607982142955,0.002282,17621507,9673047,355523,210771,828649,1520,195159,53728,16792858,9671527,160364,157043,6219980
riscv-npb-cg-size-s-run,548628995,400856721,0.7306517239395997,0.010973,117182502,8531463,6892161,6498785,16612034,7516,6118334,21409,100570468,8523947,773827,6477376,63293423
riscv-npb-bt-size-s-run,201476853,422737380,2.0981932847640814,0.004030,193953713,26547359,1673399,9319,3152685,16214,8843,8816,190801028,26531145,1664556,503,2491625
riscv-npb-lu-size-s-run,86875404,150021603,1.7268593421447571,0.001738,60762054,9666412,3811628,10507,7727958,8821,9798,9723,53034096,9657591,3801830,784,4168118
riscv-npb-ft-size-s-run,472017945,549685471,1.164543587426533,0.009440,207999425,55295337,26337165,2916053,72966711,5261,2810500,161985,135032714,55290076,23526665,2754068,16194912
riscv-gapbs-tc-run,43076201,47901469,1.1120170276854267,0.000891,15482752,13362658,213179,11864,533928,10627,93215,10937,14948824,13352031,119964,927,4030197
riscv-npb-is-size-s-run,40790878,30539663,0.7486885425707189,0.000816,9384826,3546837,261154,26438,305091,933,25847,9376,9079735,3545904,235307,17062,425185
