,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-npb-ft-size-s-run,301390565,549685193,1.8238301288562235,0.030139,207968196,55115219,26298167,2916167,67122657,5155,2636530,166528,140845539,55110064,23661637,2749639,1733029
riscv-npb-is-size-s-run,29756878,30539825,1.0263114631850827,0.002976,9384159,3549127,261220,26781,282814,917,24842,9353,9101345,3548210,236378,17428,66768
riscv-npb-bt-size-s-run,195144013,422737229,2.166283364276208,0.019514,193953310,26547164,1673334,9314,3153701,16072,8824,8870,190799609,26531092,1664510,444,1602191
riscv-npb-lu-size-s-run,78633263,150021392,1.9078617149589736,0.007863,60760818,9666161,3809995,10510,7729493,8746,9752,9648,53031325,9657415,3800243,862,3141561
riscv-gapbs-tc-run,32103666,47906924,1.4922571148105017,0.003325,15468199,13326989,213618,11774,489275,10328,93714,10903,14978924,13316661,119904,871,2041854
riscv-gapbs-bfs-run,12626443,13778366,1.0912309983104505,0.001356,3178038,2721047,93010,9067,102463,4726,64290,8749,3075575,2716321,28720,318,2033833
riscv-npb-cg-size-s-run,276600134,400856301,1.4492267057253125,0.027660,117183213,8478986,6885178,6501302,11190860,7371,5996896,22355,105992353,8471615,888282,6478947,9066902
riscv-llvm-minisat-run,54556103,46382460,0.8501791266139372,0.005456,17589203,9637603,353331,209330,800765,1508,191932,53855,16788438,9636095,161399,155475,1053207
