,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-lu-size-s-run,116575903,150021193,1.2868971128621667,0.011658,61029453,9613771,3853215,10550
riscv-llvm-minisat-run,79239379,46382460,0.5853460815234304,0.007924,17459073,8537147,353027,208717
riscv-npb-bt-size-s-run,272892495,422737201,1.5490979369000235,0.027289,194397721,26470114,1672403,9225
riscv-npb-is-size-s-run,43844415,30539589,0.696544565596325,0.004384,9453881,3508210,261334,26412
riscv-npb-ft-size-s-run,521274013,549685179,1.0545033231879142,0.052127,208141312,54243095,26887607,2914461
riscv-gapbs-bfs-run,20561202,13776703,0.6700339308956743,0.002201,2267759,2096483,44279,9065
riscv-gapbs-tc-run,54859426,47912033,0.8733600858310111,0.005663,8666407,6199163,124061,11705
riscv-npb-cg-size-s-run,341604156,400856394,1.173452918997859,0.034160,117337228,8485479,6896470,6500499
