,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-ft-size-s-run,304781731,549685434,1.8035380014296198,0.015239,207972028,55061859,26210589,2915652
riscv-gapbs-bfs-run,13848279,13777001,0.9948529344332245,0.000738,2221367,2404467,44325,9070
riscv-npb-is-size-s-run,30934942,30539677,0.9872227011125477,0.001547,9383861,3549077,261316,26848
riscv-gapbs-tc-run,33412916,47906377,1.4337682170571404,0.001728,8470745,7445182,116004,11848
riscv-npb-bt-size-s-run,196183566,422737462,2.154805678269708,0.009809,193953574,26547351,1673751,9298
riscv-npb-lu-size-s-run,79998808,150021386,1.875295266899477,0.004000,60762084,9666155,3810372,10509
riscv-llvm-minisat-run,59326974,46382460,0.7818106482221729,0.002966,17562385,9540284,352101,208567
riscv-npb-cg-size-s-run,237881804,400856438,1.6851076091553434,0.011894,117165967,8435987,6893807,6501929
