,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-cg-size-s-run,238579651,400856446,1.680178692188631,0.011929,117165682,8435703,6893904,6501916
riscv-llvm-minisat-run,62177050,46382460,0.7459739566286918,0.003109,17559654,9537497,352129,208572
riscv-gapbs-bfs-run,14593676,13780567,0.9442834690861988,0.000775,2221560,2404303,44188,9083
riscv-gapbs-tc-run,34202555,47908338,1.4007239517632528,0.001769,8471591,7447401,115922,11866
riscv-npb-lu-size-s-run,80540691,150021386,1.8626781585472119,0.004027,60762545,9666201,3810570,10505
riscv-npb-bt-size-s-run,196620740,422737462,2.1500146017149566,0.009831,193953438,26547318,1673499,9307
riscv-npb-is-size-s-run,31531375,30539668,0.968548564723232,0.001577,9383997,3549257,261453,26852
riscv-npb-ft-size-s-run,309415492,549685388,1.776528332330561,0.015471,207972111,55063726,26214334,2915864
