,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-npb-lu-size-s-run,96371931,150021556,1.5566934733309432,0.000964,60762871,9666305,3810733,10498,7731282,8878,9774,9575,53031589,9657427,3800959,923,5278493
riscv-gapbs-tc-run,53058873,47911573,0.9029888931112426,0.000547,15469982,13331429,210365,11854,466247,10363,91920,10910,15003735,13321066,118445,944,4825459
riscv-npb-bt-size-s-run,209044880,422737885,2.0222350578497785,0.002090,193953796,26547357,1673533,9295,3154318,16167,8568,8894,190799478,26531190,1664965,401,3591825
riscv-npb-is-size-s-run,50204955,30539702,0.6083005551942035,0.000502,9384515,3546403,261545,26853,260973,925,25962,9364,9123542,3545478,235583,17489,750928
riscv-npb-ft-size-s-run,463339472,549685536,1.186355942495657,0.004633,207986895,55063136,26219010,2916021,66518326,5101,2664925,164332,141468569,55058035,23554085,2751689,10708478
riscv-npb-cg-size-s-run,262195872,400856650,1.5288442451145836,0.002622,117165618,8435548,6893939,6501991,9864234,7294,5984589,21893,107301384,8428254,909350,6480098,7575164
riscv-llvm-minisat-run,145023370,46382460,0.31982748711466297,0.001450,17559787,9539494,352015,208469,798665,1513,190162,52949,16761122,9537981,161853,155520,6607484
riscv-gapbs-bfs-run,31826443,13782066,0.4330382129099378,0.000329,3175914,2729676,91877,9072,101397,4743,63397,8759,3074517,2724933,28480,313,4612771
