,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-npb-cg-size-s-run,346080359,400856329,1.1582752923577497,0.017304,117195147,8526478,6915567,6501685,12243014,7461,6040597,21798,104952133,8519017,874970,6479887,23892588
riscv-llvm-minisat-run,69501798,46382460,0.6673562603373225,0.003475,17595304,9637193,354321,209777,814548,1513,193923,53797,16780756,9635680,160398,155980,2195247
riscv-gapbs-bfs-run,15038130,13778535,0.9162399181281183,0.000799,3178970,2725332,93152,9083,104947,4737,64431,8790,3074023,2720595,28721,293,2444897
riscv-gapbs-tc-run,34755211,47912170,1.3785607574069971,0.001800,15478772,13333939,213523,11881,517876,10400,93465,10927,14960896,13323539,120058,954,2529177
riscv-npb-bt-size-s-run,196776768,422737462,2.148309814703329,0.009839,193953502,26547411,1673745,9299,3151666,16194,8657,8841,190801836,26531217,1665088,458,1841313
riscv-npb-lu-size-s-run,80732118,150021443,1.8582621974565314,0.004037,60762661,9666246,3810399,10520,7726117,8797,9793,9780,53036544,9657449,3800606,740,3388089
riscv-npb-ft-size-s-run,337788060,549685428,1.6273086384403286,0.016889,207972237,55152042,26348725,2915759,69460661,5192,2785461,163782,138511576,55146850,23563264,2751977,4572468
riscv-npb-is-size-s-run,32273443,30539708,0.9462798251801025,0.001614,9384462,3548860,261229,26366,292979,918,25153,9006,9091483,3547942,236076,17360,168967
