,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-llvm-minisat-run,125792113,46382460,0.3687231170049588,0.001258,17558640,9538322,352058,208460
riscv-npb-bt-size-s-run,206625593,422737885,2.0459125070726354,0.002066,193953734,26547453,1673624,9298
riscv-gapbs-tc-run,48938770,47907996,0.9789374763607668,0.000506,8473202,7448465,115283,11859
riscv-npb-lu-size-s-run,93196604,150021556,1.6097320026811277,0.000932,60762335,9666182,3810827,10487
riscv-gapbs-bfs-run,28049890,13780087,0.49127062530369997,0.000291,2221216,2405252,43703,9061
riscv-npb-ft-size-s-run,441517998,549685473,1.24498995621918,0.004415,207985440,55062268,26200072,2915877
riscv-npb-is-size-s-run,46483487,30539702,0.6570010980458502,0.000465,9384533,3546399,261468,26864
riscv-npb-cg-size-s-run,258358544,400856747,1.5515521213031762,0.002584,117165664,8435602,6893821,6501950
