,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-gapbs-bfs-run,26294850,13768878,0.5236340195893873,0.006980,2320200,2005363,43825,9338
riscv-llvm-minisat-run,90050407,46382460,0.5150721861812352,0.022513,16967428,8033721,338814,237177
riscv-npb-cg-size-s-run,289005410,400856284,1.3870200007674596,0.072251,117314605,8353593,6875481,6567536
riscv-npb-lu-size-s-run,136210075,150021025,1.1013944820161063,0.034053,61769266,9587902,3810294,300102
riscv-npb-bt-size-s-run,361424619,422737062,1.16964102547757,0.090356,194862526,26419969,1646280,342548
riscv-gapbs-tc-run,75868331,47912695,0.6315243049171597,0.019515,9000901,5899236,103536,14134
riscv-npb-is-size-s-run,56467993,30539380,0.5408263757488246,0.014117,9662509,3285037,259753,182160
riscv-npb-ft-size-s-run,728217581,549685102,0.7548363515821241,0.182054,208055612,54007027,24636283,2925386
