,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-gapbs-bfs-run,25618903,13786662,0.5381441195979391,0.006788,2320616,2004691,43950,9347
riscv-npb-cg-size-s-run,282841289,400856302,1.417248179773357,0.070710,117308666,8327623,6872974,6561260
riscv-npb-is-size-s-run,56426666,30539348,0.5412219109312607,0.014107,9664685,3284966,260219,182203
riscv-gapbs-tc-run,75034158,47915080,0.6385768998700565,0.019298,8991780,5886521,102896,13869
riscv-npb-ft-size-s-run,723574200,549685086,0.7596803285689291,0.180894,208039905,53986100,24699767,2924876
riscv-npb-lu-size-s-run,135537034,150021065,1.106864010319128,0.033884,61894606,9585355,3784509,297283
riscv-llvm-minisat-run,88840670,46382460,0.5220858870154851,0.022210,16834058,7945799,338256,237159
riscv-npb-bt-size-s-run,361228405,422737129,1.1702765428981146,0.090307,194860804,26418981,1640097,338144
