,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-lu-size-s-run,420017386,150021059,0.3571782121419136,0.105004,61839361,9582915,3799563,10235
riscv-gapbs-bfs-run,85890342,13777509,0.16040812830853554,0.022740,2436894,1921840,43009,8937
riscv-npb-bt-size-s-run,1167656538,422736604,0.3620384849847002,0.291914,194941696,26408022,1642035,8907
riscv-npb-is-size-s-run,198068830,30539169,0.15418462864651647,0.049517,9926311,3284804,259788,25683
riscv-llvm-minisat-run,290906142,46382460,0.15944132248675588,0.072725,17043109,7949499,338790,200404
riscv-npb-ft-size-s-run,2366711113,549684712,0.23225678410037534,0.591678,208091015,53976968,24399069,2907220
riscv-npb-cg-size-s-run,751619868,400856026,0.5333228179114605,0.187905,117759569,8429606,6863948,6481987
riscv-gapbs-tc-run,257942189,47918147,0.1857708782955238,0.066101,10235379,5914841,107425,11583
m5out,0,0,0.0,0,0,0,0,0
