,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-llvm-minisat-run,143440118,46382460,0.3233576536795654,0.002869,17803559,10020482,353668,209649,920989,1525,191676,52780,16882570,10018957,161992,156869,11235093
riscv-gapbs-tc-run,60237878,47914304,0.7954181918559614,0.001255,15912592,14587309,296132,11794,936651,11677,96516,10862,14975941,14575632,199616,932,14197940
riscv-npb-cg-size-s-run,748916418,400856372,0.5352484768200128,0.014978,117277695,8834877,6909414,6507879,15845261,8268,5981125,20309,101432434,8826609,928289,6487570,112645441
riscv-npb-ft-size-s-run,1505106069,549685179,0.36521358216648053,0.030102,208410982,56284701,25306413,2893072,122270026,5588,2541934,157353,86140956,56279113,22764479,2735719,160971900
riscv-npb-is-size-s-run,51613351,30539631,0.5917002172558027,0.001032,9392600,3547067,261244,26585,555711,914,25786,9348,8836889,3546153,235458,17237,2166465
riscv-gapbs-bfs-run,32637923,13785921,0.4223896539004642,0.000705,3205211,2760327,95406,9043,130072,5052,64084,8691,3075139,2755275,31322,352,11920564
riscv-npb-bt-size-s-run,322237516,422737434,1.3118814942702077,0.006445,193949757,26544966,1686089,9108,4762388,17117,8681,8730,189187369,26527849,1677408,378,19644745
riscv-npb-lu-size-s-run,279210277,150021463,0.5373063793063749,0.005584,60722713,9677669,3856983,10376,11791218,9360,9694,9466,48931495,9668309,3847289,910,50238893
