,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-is-size-s-run,34484671,30539600,0.8855992855492227,0.001724,9389700,3547935,261416,26704
riscv-gapbs-tc-run,40615418,47920425,1.1798579790561308,0.002111,8739443,7828888,152854,11873
riscv-npb-ft-size-s-run,658287068,549685139,0.8350234505897964,0.032914,208337385,56074042,26780605,2910793
riscv-llvm-minisat-run,78892146,46382460,0.58792240231366,0.003945,17766021,9918615,355245,210877
riscv-npb-lu-size-s-run,140678906,150021326,1.0664095297983054,0.007034,60680207,9675278,3882527,10581
riscv-npb-bt-size-s-run,234893310,422737221,1.799698854769427,0.011745,193951136,26545175,1682494,9267
riscv-gapbs-bfs-run,18586825,13774160,0.741071161965532,0.001002,2227349,2404571,44530,9082
riscv-npb-cg-size-s-run,410306067,400856387,0.976969192610062,0.020515,117241435,8753710,6945563,6499012
