,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-llvm-minisat-run,254465966,46382460,0.18227372693132565,0.002545,17843733,10089813,354719,210097,937657,1535,192089,52428,16906076,10088278,162630,157669,24142892
riscv-npb-cg-size-s-run,1334136368,400856590,0.30046148176061116,0.013341,117343521,8960374,6933523,6508871,18319546,8269,5922473,19658,99023975,8952105,1011050,6489213,261641844
riscv-npb-is-size-s-run,80482351,30539708,0.37945844797699807,0.000805,9393851,3546777,261101,26353,593997,924,25700,9341,8799854,3545853,235401,17012,5042246
riscv-gapbs-bfs-run,55564283,13776955,0.24794623913350955,0.000603,3207920,2757877,94781,9013,138794,5071,63416,8690,3069126,2752806,31365,323,22992576
riscv-npb-ft-size-s-run,2913990369,549685212,0.1886365918871024,0.029140,208400937,56312752,24070017,2888918,138008204,5612,2508659,153733,70392733,56307140,21561358,2735185,406377642
riscv-npb-lu-size-s-run,519828929,150021373,0.28859758399479146,0.005198,60725741,9678811,3827779,10421,12045637,9400,9685,9457,48680104,9669411,3818094,964,112058932
riscv-npb-bt-size-s-run,468871216,422737420,0.9016066791355347,0.004689,193956452,26544691,1689025,9081,4952944,17496,8710,8717,189003508,26527195,1680315,364,44925102
riscv-gapbs-tc-run,93869073,47909507,0.5103864933235253,0.000981,16028975,14893126,300429,11802,981914,11684,95583,10789,15047061,14881442,204846,1013,27971787
