,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-npb-is-size-s-run,34484671,30539600,0.8855992855492227,0.001724,9389700,3547935,261416,26704,460901,921,26030,9356,8928799,3547014,235386,17348,636505
riscv-gapbs-tc-run,40615418,47920425,1.1798579790561308,0.002111,15850874,14189890,288049,11873,844142,11498,95324,10893,15006732,14178392,192725,980,5661663
riscv-npb-ft-size-s-run,658287068,549685139,0.8350234505897964,0.032914,208337385,56074042,26780605,2910793,89516703,5474,2587180,164124,118820682,56068568,24193425,2746669,33857971
riscv-llvm-minisat-run,78892146,46382460,0.58792240231366,0.003945,17766021,9918615,355245,210877,876621,1526,192473,53213,16889400,9917089,162772,157664,3738926
riscv-npb-lu-size-s-run,140678906,150021326,1.0664095297983054,0.007034,60680207,9675278,3882527,10581,10863289,9280,9774,9622,49816918,9665998,3872753,959,13863417
riscv-npb-bt-size-s-run,234893310,422737221,1.799698854769427,0.011745,193951136,26545175,1682494,9267,4309020,16953,8810,8867,189642116,26528222,1673684,400,5255642
riscv-gapbs-bfs-run,18586825,13774160,0.741071161965532,0.001002,3197739,2737057,94818,9082,125185,5095,64448,8736,3072554,2731962,30370,346,5275270
riscv-npb-cg-size-s-run,410306067,400856387,0.976969192610062,0.020515,117241435,8753710,6945563,6499012,12907797,8137,5989533,21657,104333638,8745573,956030,6477355,35529369
