,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-llvm-minisat-run,1818385213,46382460,0.02550749954872186,0.018184,16916904,7923028,351949,208075
riscv-npb-is-size-s-run,1230034239,30539316,0.024828021067794033,0.012300,9663578,3284969,259744,25675
riscv-npb-ft-size-s-run,14814774338,549685134,0.03710384791957673,0.148148,208087624,53981624,25284970,2910252
riscv-npb-lu-size-s-run,2624919884,150021028,0.05715261212901841,0.026249,61946735,9578753,3775246,10341
riscv-gapbs-tc-run,1559584041,47909592,0.030719467973832647,0.015963,10147058,5937755,111012,11625
riscv-npb-bt-size-s-run,7205527014,422737121,0.058668452727835406,0.072055,195127615,26402236,1658485,9029
riscv-gapbs-bfs-run,524411890,13778066,0.02627336691393477,0.005504,2442805,1936850,43745,9000
riscv-npb-cg-size-s-run,4908600940,400856239,0.08166405130501402,0.049086,117736642,8480204,6885541,6495898
