,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-is-size-s-run,1229917064,30539316,0.024830386449537056,0.012299,9664084,3284987,259758,25713
riscv-gapbs-tc-run,0,0,0.0,0,0,0,0,0
riscv-npb-ft-size-s-run,14780680338,549685122,0.03718943305923487,0.147807,208088218,53981342,24652838,2912186
riscv-llvm-minisat-run,1817494422,46382460,0.025520001293296953,0.018175,16915007,7931289,343570,202777
riscv-npb-lu-size-s-run,2622938508,150021052,0.057195794542050316,0.026229,61956284,9578161,3801081,10286
riscv-npb-bt-size-s-run,7205363889,422737125,0.058669781500607844,0.072054,195127503,26402336,1642418,8973
riscv-gapbs-bfs-run,523613215,13780777,0.026318619555849063,0.005493,2443428,1936332,43743,8991
riscv-npb-cg-size-s-run,4701661315,400856274,0.08525843252918357,0.047017,117764576,8479700,6872836,6494345
