,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-cg-size-s-run,1005693495,400856295,0.3985869422373066,0.050285,119263424,8467245,6861506,6487400
riscv-npb-lu-size-s-run,525177711,150021098,0.2856577780392512,0.026259,61886369,9581725,3790978,10301
riscv-gapbs-tc-run,319552033,47919808,0.14995932759407604,0.016380,10208032,5920024,108641,11641
riscv-npb-bt-size-s-run,1447511966,422737125,0.2920439588269352,0.072375,194931999,26399978,1642197,9069
riscv-npb-is-size-s-run,248233519,30539348,0.123026689236114,0.012412,10188478,3285010,259788,25737
riscv-llvm-minisat-run,371116032,46382460,0.12498101941335696,0.018555,17188941,8014154,342924,202577
riscv-gapbs-bfs-run,107907858,13773807,0.12764415173545562,0.005685,2453672,1935194,43936,8996
riscv-npb-ft-size-s-run,2965892278,549685102,0.18533549113613493,0.148295,207832252,53982743,24763213,2911723
