,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-gapbs-bfs-run,22201251,13774605,0.6204427399158723,0.000466,2222266,2404972,43944,9090
riscv-llvm-minisat-run,114103093,46382460,0.40649607982142955,0.002282,17621507,9673047,355523,210771
riscv-npb-cg-size-s-run,548628995,400856721,0.7306517239395997,0.010973,117182502,8531463,6892161,6498785
riscv-npb-bt-size-s-run,201476853,422737380,2.0981932847640814,0.004030,193953713,26547359,1673399,9319
riscv-npb-lu-size-s-run,86875404,150021603,1.7268593421447571,0.001738,60762054,9666412,3811628,10507
riscv-npb-ft-size-s-run,472017945,549685471,1.164543587426533,0.009440,207999425,55295337,26337165,2916053
riscv-gapbs-tc-run,43076201,47901469,1.1120170276854267,0.000891,8476402,7464209,116564,11864
riscv-npb-is-size-s-run,40790878,30539663,0.7486885425707189,0.000816,9384826,3546837,261154,26438
