,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-llvm-minisat-run,1379624291,46382460,0.033619631302939997,0.068981,16627363,7742185,338500,200521
riscv-npb-cg-size-s-run,3302697215,400856036,0.12137232386287643,0.165135,117721964,8422084,6882055,6474983
riscv-gapbs-tc-run,1226039378,47913250,0.039079699118766804,0.062713,10143839,5919846,107070,11564
riscv-gapbs-bfs-run,398379721,13777633,0.034584172521171075,0.021014,2433616,1921419,42969,8942
riscv-npb-bt-size-s-run,5755347454,422736640,0.07345110671054196,0.287767,195126846,26400551,1635673,8957
riscv-npb-lu-size-s-run,2088775453,150021079,0.07182250192787956,0.104439,62015504,9574025,3796482,10224
riscv-npb-ft-size-s-run,11667347815,549684759,0.04711308582858083,0.583367,208052126,53953790,24638670,2905211
riscv-npb-is-size-s-run,980526354,30539170,0.031145690144295704,0.049026,9664603,3284673,260269,25656
