,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-gapbs-bfs-run,83778419,13783254,0.16452034025612253,0.022159,2440827,1921360,43074,8950
riscv-npb-cg-size-s-run,726817611,400856025,0.5515221686063411,0.181704,117751687,8412689,6876205,6480698
riscv-gapbs-tc-run,255226767,47913508,0.18772916556984792,0.065391,10176605,5903305,107942,11532
riscv-llvm-minisat-run,287789597,46382460,0.1611679521549905,0.071945,16941144,7892495,338354,200175
riscv-npb-ft-size-s-run,2352728191,549684780,0.23363718006301562,0.588182,208058130,53955753,24651116,2906247
riscv-npb-is-size-s-run,197944630,30539149,0.15428127047447562,0.049486,9926926,3284747,260324,25710
riscv-npb-bt-size-s-run,1167215570,422736604,0.3621752612501562,0.291804,194939921,26406605,1635549,8942
riscv-npb-lu-size-s-run,419639592,150020982,0.35749958979085084,0.104907,61896712,9580080,3785982,10206
