,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-npb-cg-size-s-run,521746922,400856062,0.7682959785625721,0.130437,117861505,47737827,6828830,6455550,3550582,4433,3498214,21930,114310923,47733394,3330616,6433620,0
riscv-gapbs-bfs-run,15680098,13781091,0.8788906166275237,0.003920,2861648,2918137,84550,8862,45163,2813,63090,8405,2816485,2915324,21460,457,0
riscv-npb-bt-size-s-run,649186620,422737090,0.6511796099556088,0.162297,195079533,26490379,1641317,9019,1455785,11165,6378,8393,193623748,26479214,1634939,626,0
riscv-npb-lu-size-s-run,233061894,150021179,0.6436967297622666,0.058265,62295322,9593197,3752197,10128,3114403,6085,8580,9315,59180919,9587112,3743617,813,0
riscv-gapbs-tc-run,69374582,47269224,0.6813622891450358,0.017344,13529031,14330383,111604,9884,86778,2977,8045,9516,13442253,14327406,103559,368,0
riscv-llvm-minisat-run,75649179,46383230,0.6131359337025984,0.018912,15195639,8031514,340733,202131,356628,979,179692,52316,14839011,8030535,161041,149815,0
riscv-npb-ft-size-s-run,882402541,549684912,0.6229412161223593,0.220601,207776585,59112109,24752339,2913536,14170179,3077,2117927,163143,193606406,59109032,22634412,2750393,0
riscv-npb-is-size-s-run,45703234,30539569,0.6682146169349854,0.011426,9846098,4363072,260333,26585,185414,590,19786,9143,9660684,4362482,240547,17442,0
