,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-npb-is-size-s-run,76819909,30539709,0.39754940350163653,0.000768,9846174,4363096,260332,26593,185400,590,19887,9270,9660774,4362506,240445,17323,0
riscv-gapbs-tc-run,104430210,47266330,0.45261165327542674,0.001044,13528370,14329615,111586,9874,86820,2925,8302,9558,13441550,14326690,103284,316,0
riscv-npb-ft-size-s-run,1118378742,549685646,0.4915022302882792,0.011184,207776820,59111236,24773444,2914765,14179364,3094,2133377,161751,193597456,59108142,22640067,2753014,0
riscv-npb-lu-size-s-run,260484995,150021446,0.5759312393406768,0.002605,62295443,9593299,3752264,10148,3114206,6096,8588,9285,59181237,9587203,3743676,863,0
riscv-npb-bt-size-s-run,668340550,422737544,0.632518173556879,0.006683,195079686,26490470,1641286,9009,1456040,11181,6394,8390,193623646,26479289,1634892,619,0
riscv-gapbs-bfs-run,46707410,13704831,0.29341877445142,0.000467,2837322,2911477,37171,8293,27170,2261,7152,7989,2810152,2909216,30019,304,0
riscv-llvm-minisat-run,196906095,46383230,0.23556015368645647,0.001969,15195640,8031504,340449,202098,356941,979,180875,51536,14838699,8030525,159574,150562,0
riscv-npb-cg-size-s-run,561614191,400856968,0.713758616544645,0.005616,117861685,47738138,6828787,6455510,3551303,4435,3500375,21728,114310382,47733703,3328412,6433782,0
