,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-gapbs-bfs-run,19168425,13774472,0.7186021804086669,0.000402,2221259,2407483,43931,9351
riscv-gapbs-tc-run,39194825,47903271,1.2221835663254015,0.000809,8473889,7447089,116282,16041
riscv-llvm-minisat-run,29077625038,15023155932,0.5166569110223768,0.581553,6835998947,3652268784,476364024,286935529
riscv-npb-bt-size-s-run,200976123,422737351,2.1034207680481525,0.004020,193953590,26550325,1673003,359877
riscv-npb-cg-size-s-run,237030536,400856851,1.691161222366725,0.004741,117157240,8433586,6930516,6605194
riscv-npb-ft-size-s-run,998570755,549685271,0.5504720303970849,0.019971,207976876,55071265,26196407,2963215
riscv-npb-is-size-s-run,36684615,30539663,0.8324923949726609,0.000734,9384440,3546528,261879,182800
riscv-npb-lu-size-s-run,85494673,150021584,1.7547477373239384,0.001710,60735229,9667094,3824669,308017
