,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-gapbs-bfs-run,12185471,13768859,1.1299406481702676,0.001310,2221304,2407956,44242,9317
riscv-gapbs-tc-run,31588376,47916227,1.5168942841506001,0.003269,8472663,7447045,115963,14888
riscv-llvm-minisat-run,19020754055,15023155932,0.7898296717658705,1.902075,6836114830,3652880578,476379772,286948192
riscv-npb-bt-size-s-run,195794679,422737292,2.1590846807435455,0.019579,193953592,26550151,1672782,359309
riscv-npb-cg-size-s-run,226994013,400856403,1.765933813417361,0.022699,117157805,8433989,6927393,6605037
riscv-npb-ft-size-s-run,408344640,549685220,1.3461306116323701,0.040834,207966364,55061553,26204471,2963496
riscv-npb-is-size-s-run,29256337,30539825,1.0438704271146453,0.002926,9383821,3548963,261871,182872
riscv-npb-lu-size-s-run,78916163,150021379,1.9010222151829657,0.007892,60734480,9667166,3824287,308122
