,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-llvm-minisat-run,699488722,46382460,0.06630908911209007,0.069948,16834644,7806925,338817,200325
riscv-npb-lu-size-s-run,1045530474,150021049,0.14348797355092685,0.104553,61955214,9577917,3795603,10269
riscv-gapbs-tc-run,623414912,47923772,0.07687299594142528,0.063818,10154916,5919894,108885,11569
riscv-npb-bt-size-s-run,2880198315,422736660,0.14677345577156897,0.288019,195122420,26401569,1641852,8961
riscv-npb-is-size-s-run,490955294,30539109,0.062203441684447955,0.049096,9664005,3284732,259722,25623
riscv-npb-ft-size-s-run,5873286329,549684773,0.09359066495462186,0.587329,208092900,53975004,24393286,2904002
riscv-npb-cg-size-s-run,1742181355,400855984,0.23008855125762726,0.174218,117748125,8444421,6872094,6482419
riscv-gapbs-bfs-run,205651009,13780776,0.06701049543598397,0.021754,2430153,1922823,43009,8938
