,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-cg-size-s-run,234205748,400856319,1.7115562808475564,0.058551,117166169,8435756,6893725,6501925
riscv-gapbs-tc-run,30812325,47918510,1.5551734573746059,0.007975,8471386,7450602,116765,11718
riscv-llvm-minisat-run,45363130,46382460,1.0224704512232732,0.011341,17561128,9539316,352158,208577
riscv-gapbs-bfs-run,11482573,13777923,1.1998985767388546,0.003093,2220953,2404522,44710,9088
riscv-npb-lu-size-s-run,77485954,150021084,1.9361068200825147,0.019371,60761588,9665676,3811363,10502
riscv-npb-bt-size-s-run,194215176,422737095,2.1766429570879673,0.048554,193953105,26546882,1673609,9318
riscv-npb-is-size-s-run,28296231,30539605,1.079281724834661,0.007074,9383729,3549061,261320,26841
riscv-npb-ft-size-s-run,280203448,549685253,1.9617362203194588,0.070051,207957126,55058002,26215623,2915860
