,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-ft-size-s-run,29167708895,549684785,0.018845662063441272,0.583354,208053240,53953716,24635113,2905966
riscv-npb-is-size-s-run,2451311314,30539170,0.012458299288867885,0.049026,9664591,3284681,260271,25665
riscv-llvm-minisat-run,3447914312,46382460,0.013452323869700623,0.068958,16631341,7741206,338690,200536
riscv-npb-bt-size-s-run,14387936464,422736646,0.029381325602717785,0.287759,195127079,26400578,1635490,8903
riscv-npb-lu-size-s-run,5221826628,150021075,0.028729616221950142,0.104437,62015175,9573959,3796919,10255
riscv-gapbs-tc-run,0,0,0.0,0,0,0,0,0
riscv-gapbs-bfs-run,993930222,13785630,0.013869816708320194,0.020976,2428298,1924121,43098,8971
riscv-npb-cg-size-s-run,8232492265,400856046,0.04869194322893178,0.164650,117606058,8445650,6872108,6476755
