,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-cg-size-s-run,234104187,400856319,1.7122988022422683,0.058526,117166211,8435879,6893899,6501915
riscv-gapbs-bfs-run,11411333,13777536,1.207355529805326,0.003073,2221714,2408341,44870,9085
riscv-llvm-minisat-run,44745265,46382460,1.0365892346374528,0.011186,17561456,9537362,352129,208579
riscv-npb-bt-size-s-run,194143568,422737116,2.1774458992120715,0.048536,193953216,26546918,1673507,9314
riscv-npb-lu-size-s-run,77392302,150021104,1.9384499507457473,0.019348,60761447,9665877,3810230,10478
riscv-gapbs-tc-run,30718408,47913046,1.5597502969554933,0.007951,8473181,7446816,116916,11718
riscv-npb-ft-size-s-run,279580609,549685277,1.966106587170357,0.069895,207958093,55059204,26211855,2915822
riscv-npb-is-size-s-run,28201429,30539610,1.0829100184958713,0.007050,9383718,3549060,261551,26841
