,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-gapbs-bfs-run,26345304,13789243,0.5234042089626295,0.006983,2322724,2008368,43972,9002
riscv-gapbs-tc-run,75875999,47920849,0.6315679481201955,0.019522,9001625,5900894,105031,11630
riscv-npb-cg-size-s-run,310108113,400856269,1.2926339305415075,0.077527,117339912,8368104,6870163,6492187
riscv-npb-ft-size-s-run,683182788,549685107,0.8045944901644683,0.170796,208044872,53996953,24842192,2913437
riscv-llvm-minisat-run,91596740,46382460,0.5063767553299386,0.022899,17129199,8142180,339047,200500
riscv-npb-is-size-s-run,56487152,30539334,0.5406421269034771,0.014122,9663553,3285091,260245,25866
riscv-npb-bt-size-s-run,361420969,422737104,1.1696529539214422,0.090355,194862333,26419970,1643145,8973
riscv-npb-lu-size-s-run,136234074,150021057,1.1012006952093352,0.034059,61771128,9587776,3799788,10293
