,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-npb-lu-size-s-run,116575903,150021193,1.2868971128621667,0.011658,61029453,9613771,3853215,10550,9072029,8162,9901,9599,51957424,9605609,3843314,951,6220173
riscv-llvm-minisat-run,79239379,46382460,0.5853460815234304,0.007924,17459073,8537147,353027,208717,818306,1384,197646,54124,16640767,8535763,155381,154593,4091984
riscv-npb-bt-size-s-run,272892495,422737201,1.5490979369000235,0.027289,194397721,26470114,1672403,9225,3463793,14776,8882,8906,190933928,26455338,1663521,319,2469759
riscv-npb-is-size-s-run,43844415,30539589,0.696544565596325,0.004384,9453881,3508210,261334,26412,299435,851,25642,9323,9154446,3507359,235692,17089,215048
riscv-npb-ft-size-s-run,521274013,549685179,1.0545033231879142,0.052127,208141312,54243095,26887607,2914461,50398191,4855,2688237,168188,157743121,54238240,24199370,2746273,6988199
riscv-gapbs-bfs-run,20561202,13776703,0.6700339308956743,0.002201,3295039,2372500,91250,9065,107799,4312,65026,8730,3187240,2368188,26224,335,1056692
riscv-gapbs-tc-run,54859426,47912033,0.8733600858310111,0.005663,15705026,11071314,225047,11705,493917,10112,94511,10836,15211109,11061202,130536,869,1158308
riscv-npb-cg-size-s-run,341604156,400856394,1.173452918997859,0.034160,117337228,8485479,6896470,6500499,10948255,6787,6337301,22400,106388973,8478692,559169,6478099,20322740
