,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-is-size-s-run,175821102,30539825,0.17369829134616618,0.003516,9661860,3285411,261092,26047
riscv-npb-ft-size-s-run,2165675369,549685243,0.25381700824986386,0.043314,208141034,54148650,26413670,2905857
riscv-gapbs-bfs-run,83331533,13776484,0.16532137960308493,0.001764,2448254,1936484,43615,8991
riscv-npb-lu-size-s-run,426412029,150021375,0.3518225678384884,0.008528,61218845,9601302,3838803,10377
riscv-npb-bt-size-s-run,997216194,422737323,0.4239174268764432,0.019944,195135313,26407733,1676092,9105
riscv-llvm-minisat-run,317118890,46382460,0.14626205332643538,0.006342,17258804,8230637,353675,209429
riscv-gapbs-tc-run,224969318,47919166,0.21300311716284795,0.004624,10226442,5997209,132161,11631
riscv-npb-cg-size-s-run,1136482016,400856388,0.35271687748378766,0.022730,117758114,8557473,6895864,6500064
