,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-npb-lu-size-s-run,182122532,150021340,0.8237384927198355,0.009106,61028720,9607541,3867263,10478,9891115,8116,9688,9529,51137605,9599425,3857575,949,21126187
riscv-gapbs-tc-run,93382885,47905126,0.5129968516179383,0.004813,16628829,10801025,225782,11677,526792,10230,94197,10836,16102037,10790795,131585,841,1561788
riscv-npb-bt-size-s-run,409163350,422737268,1.0331748139221169,0.020458,194718810,26435538,1676722,9143,3611518,14553,8823,8771,191107292,26420985,1667899,372,14687032
riscv-gapbs-bfs-run,34821520,13772820,0.39552609995198373,0.001853,3488674,2275834,91288,9033,114003,4265,64843,8689,3374671,2271569,26445,344,1422302
riscv-npb-is-size-s-run,68410264,30539793,0.4464212124660124,0.003421,10185994,3285547,261004,26258,329982,853,25214,9308,9856012,3284694,235790,16950,456386
riscv-llvm-minisat-run,132039224,46382460,0.3512778899700289,0.006602,17544603,8366080,352948,209095,843161,1376,196351,53791,16701442,8364704,156597,155304,7266256
riscv-npb-ft-size-s-run,888376790,549685213,0.6187523348060455,0.044419,207878036,54181947,26788765,2909113,55635866,4851,2665186,167063,152242170,54177096,24123579,2742050,17252085
riscv-npb-cg-size-s-run,511142182,400856379,0.7842365453610713,0.025557,118490810,8554884,6890740,6499333,11593029,7040,6358992,21675,106897781,8547844,531748,6477658,92227432
