,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-is-size-s-run,56423144,30539348,0.5412556946489901,0.014106,9664666,3284946,260215,182202
riscv-npb-ft-size-s-run,723328763,549685079,0.7599380905581381,0.180832,208038447,53986376,24706921,2925870
riscv-npb-lu-size-s-run,135518467,150021065,1.1070156586113093,0.033880,61894569,9585391,3782638,297599
riscv-gapbs-bfs-run,25589782,13774752,0.5382911038476217,0.006778,2322807,2003961,43959,9345
riscv-npb-bt-size-s-run,361236706,422737141,1.1702496838734877,0.090309,194861501,26419109,1640542,339921
riscv-llvm-minisat-run,88764705,46382460,0.5225326890907822,0.022191,16824417,7939402,338121,237183
riscv-gapbs-tc-run,74979362,47920003,0.6391092391530352,0.019280,8993342,5882990,103024,13914
riscv-npb-cg-size-s-run,283128699,400856234,1.415809260650048,0.070782,117295036,8324885,6872038,6555879
