,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-gapbs-bfs-run,9838651,13779159,1.4005130378138222,0.002642,2323231,2773485,44597,9475
riscv-npb-cg-size-s-run,213319541,400856267,1.879135240591953,0.053330,117021274,10013301,6879679,6532955
riscv-gapbs-tc-run,26749203,47909117,1.79104839123618,0.006917,8727247,9857103,105095,14788
riscv-llvm-minisat-run,39858393,46382460,1.1636811348616087,0.009965,17192286,10647227,339221,237662
riscv-npb-is-size-s-run,25830408,30539534,1.1823093928675072,0.006458,9383457,3550399,261047,182506
riscv-npb-ft-size-s-run,284565729,549685141,1.9316631800029582,0.071141,208257064,56691058,25296840,2959331
riscv-npb-lu-size-s-run,70672160,150021084,2.122774852219035,0.017668,60500053,9715080,3773319,297606
riscv-npb-bt-size-s-run,186480584,422737054,2.2669226196760515,0.046620,194013555,26649883,1650682,356447
