,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses
riscv-npb-lu-size-s-run,96371931,150021556,1.5566934733309432,0.000964,60762871,9666305,3810733,10498
riscv-gapbs-tc-run,53058873,47911573,0.9029888931112426,0.000547,8472590,7448141,115794,11854
riscv-npb-bt-size-s-run,209044880,422737885,2.0222350578497785,0.002090,193953796,26547357,1673533,9295
riscv-npb-is-size-s-run,50204955,30539702,0.6083005551942035,0.000502,9384515,3546403,261545,26853
riscv-npb-ft-size-s-run,463339472,549685536,1.186355942495657,0.004633,207986895,55063136,26219010,2916021
riscv-npb-cg-size-s-run,262195872,400856650,1.5288442451145836,0.002622,117165618,8435548,6893939,6501991
riscv-llvm-minisat-run,145023370,46382460,0.31982748711466297,0.001450,17559787,9539494,352015,208469
riscv-gapbs-bfs-run,31826443,13782066,0.4330382129099378,0.000329,2221362,2408353,43848,9072
