,Cycles,Instructions,IPC,Seconds,l1dAccesses,l1iAccesses,l2Accesses,l3Accesses,l1dmisses,l1imisses,l2misses,l3misses,l1dhits,l1ihits,l2hits,l3hits,lsqFullEvents
riscv-npb-cg-size-s-run,892718820,400856780,0.44902915791559095,0.008927,117195515,8546046,6921516,6505109,22255566,7566,6050228,21434,94939949,8538480,871288,6483675,116706498
riscv-llvm-minisat-run,190685018,46382460,0.24324123880566223,0.001907,17667352,9717138,355540,210757,857017,1530,195917,53474,16810335,9715608,159623,157283,12954498
riscv-gapbs-tc-run,57431970,47913659,0.8342680740361161,0.000594,15474771,13339983,213389,11844,550013,10472,92877,10922,14924758,13329511,120512,922,7030204
riscv-npb-bt-size-s-run,209758628,422737885,2.015353976285543,0.002098,193953951,26547489,1673657,9309,3154776,16227,8679,8820,190799175,26531262,1664978,489,3661095
riscv-gapbs-bfs-run,34120281,13779071,0.4038381454126946,0.000355,3181531,2731466,91112,9102,113113,4737,63104,8803,3068418,2726729,28008,299,6199962
riscv-npb-lu-size-s-run,97382878,150021556,1.5405331931142967,0.000974,60762415,9666369,3809137,10492,7729104,8840,9799,9704,53033311,9657529,3799338,788,5281038
riscv-npb-ft-size-s-run,703004820,549685535,0.7819086290190728,0.007030,208011691,55386410,26347085,2915885,73849052,5279,2806660,161093,134162639,55381131,23540425,2754792,37743871
riscv-npb-is-size-s-run,55281803,30539702,0.5524367937131138,0.000553,9384902,3546699,261284,26150,308700,932,25584,9370,9076202,3545767,235700,16780,886009
